name,position,team,proj_points
Ja'Marr Chase,WR,Cin,353.0
Bijan Robinson,RB,Atl,334.8
Justin Jefferson,WR,Min,322.0
Saquon Barkley,RB,Phi,324.4
Jahmyr Gibbs,RB,Det,317.8
CeeDee Lamb,WR,Dal,314.7
Puka Nacua,WR,LAR,321.1
Christian McCaffrey,RB,SF,321.6
Ashton Jeanty,RB,LV,300.3
Amon-Ra St. Brown,Det,Q,289.0
Malik Nabers,NYG,Q,299.8
De'Von Achane,RB,Mia,305.0
Jonathan Taylor,RB,Ind,296.6
Nico Collins,WR,Hou,277.7
Derrick Henry,RB,Bal,280.9
Brian Thomas Jr.,WR,Jax,270.5
A.J. Brown,WR,Phi,275.3
Josh Jacobs,RB,GB,281.8
Bucky Irving,RB,TB,281.5
Brock Bowers,TE,LV,257.1
Kyren Williams,RB,LAR,278.9
Drake London,WR,Atl,266.6
James Cook,RB,Buf,268.2
Tee Higgins,WR,Cin,265.0
Ladd McConkey,WR,LAC,261.8
Trey McBride,TE,Ari,259.5
Joe Mixon,Hou,Q,255.0
Tyreek Hill,Mia,Q,262.6
Josh Allen,QB,Buf,364.9
Davante Adams,WR,LAR,256.6
Chase Brown,RB,Cin,261.4
Lamar Jackson,QB,Bal,362.7
Kenneth Walker III,Sea,Q,264.4
Jayden Daniels,QB,Wsh,367.1
Terry McLaurin,WR,Wsh,247.7
Breece Hall,RB,NYJ,233.0
Jaxon Smith-Njigba,WR,Sea,244.7
Omarion Hampton,RB,LAC,240.1
Rashee Rice,WR,KC,250.8
Jalen Hurts,QB,Phi,363.6
DJ Moore,WR,Chi,237.8
Marvin Harrison Jr.,WR,Ari,240.2
Mike Evans,WR,TB,238.7
Alvin Kamara,RB,NO,264.7
Garrett Wilson,WR,NYJ,240.9
George Kittle,TE,SF,226.6
James Conner,RB,Ari,261.6
Chuba Hubbard,RB,Car,258.4
Xavier Worthy,WR,KC,229.5
Joe Burrow,QB,Cin,328.6
RJ Harvey,RB,Den,219.2
Quinshon Judkins,RB,Cle,223.9
DK Metcalf,WR,Pit,240.1
David Montgomery,RB,Det,214.1
Courtland Sutton,WR,Den,227.6
Sam LaPorta,TE,Det,190.7
DeVonta Smith,WR,Phi,222.7
D'Andre Swift,RB,Chi,224.7
Zay Flowers,WR,Bal,232.2
George Pickens,WR,Dal,219.4
Jaylen Waddle,WR,Mia,225.6
Aaron Jones Sr.,RB,Min,219.7
